"mode","A","sigma_gp","arm","d0","rep","admin_cov80","admin_cov95","admin_rmse","admin_bias","admin_post_sd","admin_ratio","pixel_cov80"
"adversarial",20,1.5,"legacy",0,1,0.95,1,0.0198985382334824,-0.00145695677041312,0.0261065827846171,0.76220386243761,0.856
"adversarial",20,1.5,"SD",3,1,0.95,0.95,0.0208063569004463,-0.00124152090656406,0.025705268570059,0.809419938318838,0.87
"adversarial",20,1.5,"legacy",0,2,0.9,1,0.0211761130255083,0.00354998141276148,0.0259865804117115,0.814886479483264,0.826
"adversarial",20,1.5,"SD",3,2,0.95,1,0.0198840302747072,0.0013721021856712,0.026163161910822,0.76000104048901,0.844
"adversarial",20,1.5,"legacy",0,3,0.6,0.9,0.0366281949149279,0.0080155892250019,0.0276710522730396,1.32370083195627,0.854
"adversarial",20,1.5,"SD",3,3,0.7,0.85,0.0373245908912705,0.00825865705476315,0.0271656776772013,1.3739613395544,0.828
"adversarial",20,1.5,"legacy",0,4,0.65,0.8,0.0345395115170084,0.00169708820348152,0.0261224023814774,1.32221803387805,0.852
"adversarial",20,1.5,"SD",3,4,0.6,0.75,0.0334605198569339,0.000318454270168222,0.0259971751129472,1.28708291233803,0.842
"adversarial",20,1.5,"legacy",0,5,0.9,1,0.0201439463051507,0.0033174311155411,0.0267467500490997,0.753136222837238,0.884
"adversarial",20,1.5,"SD",3,5,0.9,0.95,0.0207456001868409,0.00477466173004434,0.0274554046748465,0.755610796217734,0.896
"adversarial",20,1.5,"legacy",0,6,0.7,0.8,0.0349665481146724,0.00122817826590337,0.0279319616307515,1.25184720561037,0.874
"adversarial",20,1.5,"SD",3,6,0.7,0.85,0.0323969227725962,0.00107228705376777,0.0275294610721939,1.17680918953109,0.892
"adversarial",20,1.5,"legacy",0,7,0.7,0.85,0.0338034423536788,-0.00559163369269142,0.0272782501157745,1.23920860796459,0.88
"adversarial",20,1.5,"SD",3,7,0.75,0.85,0.0350703237535774,-0.00407497491828814,0.0280790676451708,1.24898462430283,0.868
"adversarial",20,1.5,"legacy",0,8,0.8,0.95,0.023020781252897,0.0030468407984476,0.0254529966831345,0.904442865391598,0.878
"adversarial",20,1.5,"SD",3,8,0.7,0.95,0.0227088359764811,0.00456506087270679,0.0251589246423052,0.902615525080742,0.86
"adversarial",20,1.5,"legacy",0,9,0.947368421052632,1,0.0148748737315311,0.00073026958332526,0.0276455853295578,0.538056024287802,0.87
"adversarial",20,1.5,"SD",3,9,0.894736842105263,1,0.0161907500485679,-0.00016035219253506,0.0278942576842379,0.580433085255278,0.902
"adversarial",20,1.5,"legacy",0,10,0.85,0.95,0.0220011511263425,-0.00317392648732279,0.0246662499821656,0.89195362660518,0.866
"adversarial",20,1.5,"SD",3,10,0.8,0.95,0.0214589949999933,-0.00145835693512702,0.0247454158269003,0.867190721307885,0.874
"adversarial",20,1.5,"legacy",0,11,0.95,1,0.0180220616848848,0.000966511735687268,0.0246971603340873,0.729722018284448,0.862
"adversarial",20,1.5,"SD",3,11,0.85,1,0.0173791873572452,-0.000153318985897962,0.02502215080783,0.69455209868717,0.856
"adversarial",20,1.5,"legacy",0,12,0.9,0.95,0.0253180251931644,0.00139097988605574,0.0283982411339979,0.891534974778915,0.868
"adversarial",20,1.5,"SD",3,12,0.85,0.95,0.0222315164739416,0.000699162031181449,0.0274712888689908,0.809263685441283,0.914
